Hours,PBS,Ctrl 10,Ctrl 50,Ctrl 100,Pt3 10,Pt3 50,Pt3 100,Pt9 10,Pt9 50,Pt9 100
0,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775
0,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155,0.5155
0,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715
0,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685
0,0.5085,0.5085,0.5085,0.5085,0.5085,0.5085,0.5085,0.5085,0.5085,0.5085
0,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305
0,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885
0,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675
0,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745
0,0.6415,0.6415,0.6415,0.6415,0.6415,0.6415,0.6415,0.6415,0.6415,0.6415
0,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015
0,0.5805,0.5805,0.5805,0.5805,0.5805,0.5805,0.5805,0.5805,0.5805,0.5805
0,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305
0,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275
0,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885
0,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535
0,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305,0.5305
0,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845,0.5845
0,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645
0,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445
0,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515
0,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215
0,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525
0,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725
0,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645
0,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445,0.4445
0,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515
0,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215,0.5215
0,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525,0.4525
0,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725
0,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485
0,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645
0,0.4495,0.4495,0.4495,0.4495,0.4495,0.4495,0.4495,0.4495,0.4495,0.4495
0,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645,0.4645
0,0.5225,0.5225,0.5225,0.5225,0.5225,0.5225,0.5225,0.5225,0.5225,0.5225
0,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535,0.4535
0,0.4365,0.4365,0.4365,0.4365,0.4365,0.4365,0.4365,0.4365,0.4365,0.4365
0,0.4275,0.4275,0.4275,0.4275,0.4275,0.4275,0.4275,0.4275,0.4275,0.4275
0,0.4475,0.4475,0.4475,0.4475,0.4475,0.4475,0.4475,0.4475,0.4475,0.4475
0,0.4305,0.4305,0.4305,0.4305,0.4305,0.4305,0.4305,0.4305,0.4305,0.4305
0,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015,0.4015
0,0.3945,0.3945,0.3945,0.3945,0.3945,0.3945,0.3945,0.3945,0.3945,0.3945
0,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375
0,0.3985,0.3985,0.3985,0.3985,0.3985,0.3985,0.3985,0.3985,0.3985,0.3985
0,0.4455,0.4455,0.4455,0.4455,0.4455,0.4455,0.4455,0.4455,0.4455,0.4455
0,0.4065,0.4065,0.4065,0.4065,0.4065,0.4065,0.4065,0.4065,0.4065,0.4065
0,0.4045,0.4045,0.4045,0.4045,0.4045,0.4045,0.4045,0.4045,0.4045,0.4045
0,0.4095,0.4095,0.4095,0.4095,0.4095,0.4095,0.4095,0.4095,0.4095,0.4095
0,0.3905,0.3905,0.3905,0.3905,0.3905,0.3905,0.3905,0.3905,0.3905,0.3905
0,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165
0,0.3785,0.3785,0.3785,0.3785,0.3785,0.3785,0.3785,0.3785,0.3785,0.3785
0,0.3825,0.3825,0.3825,0.3825,0.3825,0.3825,0.3825,0.3825,0.3825,0.3825
0,0.3675,0.3675,0.3675,0.3675,0.3675,0.3675,0.3675,0.3675,0.3675,0.3675
0,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165,0.4165
0,0.4115,0.4115,0.4115,0.4115,0.4115,0.4115,0.4115,0.4115,0.4115,0.4115
0,0.3755,0.3755,0.3755,0.3755,0.3755,0.3755,0.3755,0.3755,0.3755,0.3755
0,0.3585,0.3585,0.3585,0.3585,0.3585,0.3585,0.3585,0.3585,0.3585,0.3585
0,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555
0,0.3835,0.3835,0.3835,0.3835,0.3835,0.3835,0.3835,0.3835,0.3835,0.3835
0,0.4025,0.4025,0.4025,0.4025,0.4025,0.4025,0.4025,0.4025,0.4025,0.4025
24,0.226375,0.205375,0.218375,0.248375,0.244375,0.316375,0.375375,0.255375,0.269375,0.308375
24,0.203375,0.198375,0.205375,0.225375,0.213375,0.274375,0.336375,0.213375,0.240375,0.291375
24,0.208375,0.209375,0.187375,0.212375,0.164375,0.265375,0.319375,0.187375,0.218375,0.274375
24,0.204375,0.257375,0.191375,0.195375,0.179375,0.262375,0.320375,0.171375,0.220375,0.268375
24,0.210375,0.249375,0.180375,0.212375,0.161375,0.310375,0.309375,0.154375,0.211375,0.245375
24,0.170375,0.220375,0.195375,0.205375,0.164375,0.283375,0.348375,0.192375,0.223375,0.254375
48,0.035625,0.047625,0.042625,0.060625,0.040625,0.086625,0.132625,0.029625,0.054625,0.086625
48,0.029625,0.042625,0.031625,0.055625,0.025625,0.071625,0.118625,0.032625,0.041625,0.094625
48,0.049625,0.040625,0.029625,0.049625,0.029625,0.083625,0.112625,0.019625,0.044625,0.091625
48,0.035625,0.045625,0.033625,0.061625,0.033625,0.072625,0.150625,0.032625,0.048625,0.086625
48,0.026625,0.061625,0.045625,0.063625,0.040625,0.074625,0.129625,0.014625,0.050625,0.084625
48,0.029625,0.074625,0.069625,0.062625,0.060625,0.078625,0.138625,0.025625,0.061625,0.092625
72,-0.032875,-0.042875,-0.028875,-0.007875,-0.028875,0.003125,0.062125,-0.030875,-0.002875,0.041125
72,-0.050875,-0.046875,-0.044875,-0.027875,-0.039875,-0.011875,0.036125,-0.043875,-0.016875,0.023125
72,-0.045875,-0.051875,-0.042875,-0.027875,-0.040875,-0.007875,0.040125,-0.048875,-0.022875,0.021125
72,-0.038875,-0.056875,-0.043875,-0.025875,-0.042875,-0.002875,0.043125,-0.050875,-0.022875,0.017125
72,-0.027875,-0.045875,-0.044875,-0.029875,-0.038875,0.001125,0.032125,-0.048875,-0.018875,0.020125
72,-0.042875,-0.053875,-0.033875,-0.022875,-0.023875,0.002125,0.049125,-0.034875,-0.004875,0.030125
