Hours,BLK,0.1,0,0.001,0.005,0.01,0.02
2,0.025166667,0.159166667,0.319166667,0.369166667,0.368166667,0.443166667,0.422166667
2,0.013166667,0.259166667,0.325166667,0.365166667,0.326166667,0.488166667,0.342166667
2,0.038166667,0.286166667,0.389166667,0.335166667,0.328166667,0.479166667,0.440166667
2,-0.029833333,0.362166667,0.329166667,0.331166667,0.452166667,0.389166667,0.341166667
2,-0.032833333,0.278166667,0.313166667,0.299166667,0.473166667,0.448166667,0.349166667
2,-0.013833333,0.381166667,0.372166667,0.363166667,0.397166667,0.449166667,0.352166667
24,0.005333333,0.718333333,0.336333333,0.333333333,0.712333333,0.701333333,0.842333333
24,0.000333333,0.732333333,0.478333333,0.480333333,0.760333333,0.713333333,0.519333333
24,0.004333333,0.762333333,0.478333333,0.276333333,0.718333333,0.824333333,0.857333333
24,-0.005666667,0.729333333,0.388333333,0.340333333,0.564333333,0.601333333,0.732333333
24,-0.002666667,0.657333333,0.338333333,0.344333333,0.726333333,0.743333333,0.705333333
24,-0.001666667,0.847333333,0.416333333,0.452333333,0.588333333,0.839333333,0.594333333
48,0.003833333,1.099833333,0.480833333,0.478833333,0.874833333,0.752833333,0.988833333
48,-0.000166667,1.305833333,0.615833333,0.539833333,1.006833333,0.788833333,1.018833333
48,0.003833333,1.191833333,0.462833333,0.552833333,0.979833333,0.921833333,1.034833333
48,-0.006166667,1.201833333,0.463833333,0.485833333,1.031833333,0.823833333,1.053833333
48,-0.001166667,1.205833333,0.520833333,0.394833333,0.739833333,0.860833333,1.117833333
48,-0.000166667,1.235833333,0.536833333,0.635833333,0.772833333,0.988833333,0.999833333
72,0.003666667,1.370666667,0.460666667,0.549666667,0.733666667,1.032666667,0.953666667
72,-0.009333333,1.090666667,0.736666667,0.464666667,1.213666667,0.849666667,0.951666667
72,0.003666667,1.205666667,0.578666667,0.783666667,0.857666667,0.859666667,1.175666667
72,-0.007333333,1.285666667,0.534666667,0.633666667,1.020666667,0.784666667,1.062666667
72,-0.002333333,1.226666667,0.416666667,0.683666667,0.960666667,1.087666667,1.239666667
72,0.011666667,1.383666667,0.653666667,0.620666667,1.011666667,0.965666667,1.077666667
